tenure,monthly_charges,total_charges,contract,payment_method,internet_service,tech_support,online_security,support_calls,churn
36,47.4,1706.4,Month-to-month,Credit,DSL,No,No,1,0
13,99.63,1295.19,One year,UPI,Fiber,No,No,1,0
32,37.34,1194.88,One year,UPI,DSL,No,No,0,0
71,110.5,7845.5,One year,UPI,,Yes,Yes,0,0
59,115.26,6800.34,Month-to-month,UPI,,No,Yes,0,1
28,56.56,1583.68,One year,Credit,,Yes,No,2,0
66,57.62,3802.92,One year,Cash,Fiber,Yes,No,4,0
42,94.33,3961.86,Month-to-month,UPI,Fiber,Yes,Yes,0,0
45,65.63,2953.35,One year,Credit,Fiber,No,No,3,0
62,22.86,1417.32,Month-to-month,Cash,Fiber,No,No,0,0
57,111.99,6383.43,Month-to-month,Debit,DSL,Yes,No,0,1
6,63.08,378.48,Month-to-month,Cash,DSL,No,Yes,0,0
28,40.35,1129.8,Month-to-month,Debit,Fiber,No,No,1,0
28,75.57,2115.96,Month-to-month,Debit,DSL,Yes,Yes,3,0
44,41.89,1843.16,Month-to-month,UPI,DSL,Yes,No,1,0
30,40.6,1218.0,Month-to-month,Credit,DSL,No,Yes,4,1
62,74.57,4623.34,Month-to-month,Cash,,Yes,Yes,1,0
62,59.1,3664.2,Two year,Debit,Fiber,Yes,No,1,0
1,77.3,77.3,Month-to-month,Credit,Fiber,No,Yes,1,1
27,119.68,3231.36,Two year,Cash,Fiber,Yes,Yes,1,0
62,105.9,6565.8,Month-to-month,UPI,DSL,No,Yes,1,1
3,20.77,62.31,One year,Cash,Fiber,No,Yes,1,0
70,25.06,1754.2,Month-to-month,UPI,DSL,No,No,0,0
72,81.01,5832.72,Month-to-month,Cash,DSL,Yes,No,0,0
27,82.63,2231.01,Two year,Cash,,Yes,Yes,0,0
9,107.82,970.38,One year,Debit,DSL,Yes,No,2,0
62,82.91,5140.42,One year,Debit,DSL,Yes,No,2,0
37,42.77,1582.49,Month-to-month,Debit,DSL,No,No,1,0
51,66.85,3409.35,One year,UPI,Fiber,No,No,1,0
44,100.9,4439.6,Month-to-month,Cash,Fiber,No,Yes,0,1
24,112.28,2694.72,Month-to-month,Cash,,No,Yes,1,1
59,43.69,2577.71,Month-to-month,UPI,Fiber,No,No,1,0
32,73.96,2366.72,Month-to-month,Cash,Fiber,No,Yes,2,0
52,35.89,1866.28,Month-to-month,Debit,Fiber,No,No,2,0
62,69.7,4321.4,One year,UPI,DSL,No,Yes,0,0
58,29.01,1682.58,Two year,UPI,Fiber,No,No,1,0
52,114.17,5936.84,Month-to-month,Cash,DSL,No,No,0,1
12,83.81,1005.72,Two year,Debit,,No,No,1,0
39,105.42,4111.38,One year,Cash,Fiber,Yes,Yes,2,0
2,119.83,239.66,Month-to-month,Cash,Fiber,Yes,Yes,3,1
3,38.27,114.81,Month-to-month,UPI,Fiber,No,No,3,1
56,89.41,5006.96,Month-to-month,UPI,Fiber,No,No,1,1
59,108.7,6413.3,Month-to-month,Credit,Fiber,No,Yes,0,1
2,77.59,155.18,Two year,Cash,DSL,Yes,Yes,2,0
2,83.97,167.94,Month-to-month,Credit,DSL,Yes,No,1,1
54,60.77,3281.58,Month-to-month,Cash,DSL,No,No,1,0
1,87.48,87.48,Month-to-month,Credit,DSL,Yes,Yes,1,1
19,59.56,1131.64,Month-to-month,Cash,Fiber,No,No,1,0
2,67.66,135.32,Month-to-month,UPI,Fiber,Yes,No,2,0
53,30.29,1605.37,Month-to-month,UPI,DSL,Yes,No,1,1
44,20.78,914.32,Two year,Credit,Fiber,Yes,No,1,0
32,25.52,816.64,Month-to-month,Credit,Fiber,Yes,Yes,1,0
70,39.25,2747.5,Month-to-month,Credit,DSL,No,No,1,0
32,65.66,2101.12,Two year,Debit,Fiber,No,Yes,1,0
68,22.1,1502.8,Month-to-month,Credit,Fiber,Yes,Yes,2,0
55,35.59,1957.45,Month-to-month,Credit,Fiber,No,Yes,1,0
56,98.14,5495.84,Month-to-month,Credit,DSL,No,No,1,0
17,96.22,1635.74,Month-to-month,Debit,Fiber,Yes,Yes,2,0
38,98.97,3760.86,Month-to-month,Debit,Fiber,No,No,2,1
24,112.15,2691.6,Month-to-month,Cash,,No,No,1,1
69,31.91,2201.79,Month-to-month,UPI,Fiber,No,No,1,0
70,36.31,2541.7,One year,Credit,Fiber,Yes,Yes,3,0
11,53.36,586.96,Month-to-month,Credit,DSL,No,No,1,0
16,111.51,1784.16,Month-to-month,UPI,Fiber,Yes,No,3,0
59,97.55,5755.45,Two year,Cash,DSL,No,No,0,0
70,52.41,3668.7,One year,Cash,DSL,Yes,No,1,0
3,28.76,86.28,One year,Credit,Fiber,No,Yes,0,0
20,81.64,1632.8,Month-to-month,UPI,DSL,No,No,2,1
59,45.68,2695.12,Month-to-month,Credit,DSL,Yes,Yes,1,0
36,73.12,2632.32,Month-to-month,Credit,DSL,No,Yes,1,0
19,114.18,2169.42,One year,Credit,Fiber,Yes,Yes,3,0
67,77.26,5176.42,Month-to-month,UPI,Fiber,No,No,0,0
19,112.38,2135.22,One year,UPI,,No,No,2,0
20,59.3,1186.0,Two year,Cash,DSL,No,Yes,0,0
71,83.34,5917.14,One year,UPI,Fiber,No,Yes,2,0
52,109.39,5688.28,One year,UPI,DSL,No,No,0,0
33,78.8,2600.4,Month-to-month,UPI,Fiber,No,Yes,4,1
40,81.49,3259.6,Month-to-month,Debit,DSL,Yes,Yes,1,0
39,91.63,3573.57,Month-to-month,Cash,DSL,Yes,No,0,0
1,108.21,108.21,Month-to-month,UPI,,Yes,No,0,1
11,28.82,317.02,Month-to-month,Credit,Fiber,No,No,1,0
57,53.69,3060.33,Month-to-month,Debit,DSL,Yes,Yes,1,0
50,59.77,2988.5,Two year,Debit,DSL,No,Yes,3,0
23,110.97,2552.31,Two year,Cash,Fiber,Yes,No,3,0
31,115.6,3583.6,Two year,Debit,DSL,Yes,No,2,0
42,32.04,1345.68,Month-to-month,Debit,Fiber,No,Yes,0,0
7,31.91,223.37,Month-to-month,Cash,Fiber,No,No,1,0
16,113.49,1815.84,Month-to-month,UPI,Fiber,No,No,3,1
60,49.58,2974.8,Month-to-month,Cash,Fiber,No,No,1,0
2,44.18,88.36,One year,Credit,Fiber,Yes,Yes,1,0
1,23.56,23.56,Month-to-month,UPI,Fiber,No,No,0,1
48,47.56,2282.88,Month-to-month,UPI,DSL,No,No,2,0
12,89.35,1072.2,Month-to-month,Debit,Fiber,No,Yes,0,1
69,62.6,4319.4,Month-to-month,UPI,,Yes,No,1,0
37,71.69,2652.53,One year,Debit,Fiber,No,Yes,1,0
32,111.73,3575.36,Two year,UPI,DSL,Yes,No,1,0
9,31.47,283.23,Two year,Cash,Fiber,No,Yes,5,0
19,27.12,515.28,Month-to-month,Debit,DSL,Yes,Yes,3,0
48,105.19,5049.12,Two year,Cash,Fiber,No,No,3,1
3,97.49,292.47,Month-to-month,Debit,DSL,Yes,No,1,1
20,46.37,927.4,One year,Debit,Fiber,No,Yes,4,0
24,52.42,1258.08,Two year,Debit,Fiber,No,Yes,3,0
54,51.03,2755.62,Month-to-month,UPI,Fiber,No,Yes,1,0
33,84.78,2797.74,Two year,UPI,Fiber,No,No,1,0
24,26.12,626.88,Month-to-month,Cash,Fiber,No,No,6,1
72,68.94,4963.68,Month-to-month,Credit,Fiber,No,No,3,1
36,33.39,1202.04,Month-to-month,Cash,DSL,No,Yes,1,1
38,101.97,3874.86,One year,Credit,Fiber,No,No,4,1
25,58.07,1451.75,One year,Debit,DSL,No,No,1,0
18,72.76,1309.68,One year,Credit,DSL,Yes,No,3,0
66,22.93,1513.38,Month-to-month,Credit,DSL,Yes,No,0,0
54,25.83,1394.82,Month-to-month,Debit,DSL,Yes,Yes,0,0
35,87.51,3062.85,One year,Cash,DSL,Yes,No,0,1
61,96.68,5897.48,Month-to-month,Debit,DSL,Yes,No,2,0
41,91.0,3731.0,Month-to-month,Debit,,No,No,1,1
33,93.7,3092.1,Month-to-month,Credit,DSL,Yes,No,0,0
68,30.46,2071.28,Month-to-month,Debit,Fiber,No,No,1,0
33,89.35,2948.55,Month-to-month,Cash,Fiber,Yes,No,2,1
14,38.17,534.38,Month-to-month,Credit,Fiber,Yes,Yes,2,0
21,29.8,625.8,Two year,Cash,,No,Yes,1,0
48,95.72,4594.56,One year,Debit,DSL,Yes,No,1,0
20,108.94,2178.8,One year,Cash,Fiber,No,No,1,1
8,91.67,733.36,Month-to-month,Cash,DSL,No,No,1,1
7,100.56,703.92,One year,Debit,Fiber,No,Yes,1,0
67,119.11,7980.37,Month-to-month,UPI,Fiber,Yes,Yes,0,1
17,33.48,569.16,Month-to-month,Cash,DSL,No,Yes,1,1
33,116.52,3845.16,Month-to-month,UPI,DSL,No,Yes,4,1
48,80.12,3845.76,One year,Debit,DSL,Yes,No,1,0
59,101.33,5978.47,Month-to-month,UPI,,No,Yes,1,1
22,85.02,1870.44,Month-to-month,UPI,Fiber,No,No,0,1
30,77.0,2310.0,Month-to-month,UPI,Fiber,No,No,1,0
38,90.36,3433.68,One year,UPI,Fiber,No,Yes,1,0
51,52.03,2653.53,One year,Cash,DSL,Yes,No,0,0
54,112.43,6071.22,Two year,Cash,Fiber,Yes,No,2,0
8,31.53,252.24,Month-to-month,Credit,DSL,No,No,1,0
27,51.8,1398.6,Two year,UPI,DSL,No,No,2,1
27,23.12,624.24,One year,Debit,Fiber,No,Yes,3,0
21,47.13,989.73,Month-to-month,Cash,DSL,Yes,No,4,0
30,41.82,1254.6,One year,UPI,Fiber,Yes,No,0,0
28,24.96,698.88,Month-to-month,Debit,DSL,No,Yes,1,0
64,69.18,4427.52,Month-to-month,Credit,Fiber,No,No,1,0
69,66.86,4613.34,Month-to-month,Debit,DSL,No,Yes,3,1
61,27.77,1693.97,Month-to-month,Debit,Fiber,No,Yes,3,0
48,46.19,2217.12,Month-to-month,UPI,Fiber,Yes,No,2,0
19,115.33,2191.27,Two year,Cash,,No,No,2,0
4,31.07,124.28,Month-to-month,Debit,,No,Yes,0,1
35,50.5,1767.5,Month-to-month,Debit,,Yes,No,2,1
64,23.59,1509.76,Month-to-month,Credit,DSL,No,Yes,2,0
49,34.89,1709.61,Month-to-month,Cash,DSL,No,No,3,1
17,89.94,1528.98,Two year,Cash,Fiber,No,Yes,0,0
44,56.67,2493.48,Month-to-month,Cash,,No,No,2,0
30,65.21,1956.3,Month-to-month,Cash,,No,Yes,0,1
46,35.7,1642.2,One year,Cash,DSL,Yes,Yes,3,0
6,88.21,529.26,Month-to-month,Credit,DSL,No,No,1,1
37,95.15,3520.55,Two year,Cash,,No,No,4,1
24,38.11,914.64,Month-to-month,Cash,,Yes,No,2,1
46,24.5,1127.0,One year,UPI,Fiber,No,No,2,0
53,28.09,1488.77,One year,Credit,Fiber,No,No,3,0
60,85.7,5142.0,One year,Credit,Fiber,No,No,0,1
63,33.55,2113.65,One year,Cash,DSL,No,No,5,0
32,69.39,2220.48,One year,Debit,Fiber,No,No,3,0
33,35.26,1163.58,Month-to-month,UPI,DSL,No,No,0,0
67,37.01,2479.67,Month-to-month,UPI,Fiber,No,No,2,0
18,20.44,367.92,Two year,Debit,Fiber,Yes,Yes,3,0
25,52.08,1302.0,Month-to-month,Cash,Fiber,No,No,3,1
54,28.98,1564.92,Month-to-month,Cash,Fiber,No,No,0,0
58,59.4,3445.2,Month-to-month,Credit,Fiber,No,No,1,0
67,79.78,5345.26,Month-to-month,Cash,Fiber,No,No,3,1
46,56.75,2610.5,One year,Credit,DSL,No,No,0,0
24,90.51,2172.24,One year,Credit,Fiber,No,No,2,0
32,94.15,3012.8,Month-to-month,UPI,Fiber,No,No,2,1
47,89.66,4214.02,Two year,Debit,Fiber,No,No,0,1
23,113.67,2614.41,One year,Debit,DSL,No,No,1,0
66,43.73,2886.18,Month-to-month,Credit,Fiber,No,No,4,0
27,38.95,1051.65,Month-to-month,UPI,Fiber,No,No,1,1
2,80.97,161.94,Two year,Debit,Fiber,No,No,1,1
17,79.49,1351.33,Month-to-month,Credit,DSL,No,No,3,1
33,71.01,2343.33,Month-to-month,Credit,DSL,Yes,No,1,0
9,20.44,183.96,Month-to-month,Debit,DSL,Yes,Yes,1,1
43,75.52,3247.36,Month-to-month,Debit,Fiber,Yes,No,2,1
48,113.28,5437.44,Two year,Debit,DSL,Yes,Yes,3,0
39,53.46,2084.94,One year,UPI,Fiber,No,Yes,0,0
42,116.76,4903.92,Month-to-month,Credit,Fiber,No,Yes,1,0
26,55.68,1447.68,One year,Cash,Fiber,Yes,No,3,0
50,33.99,1699.5,Month-to-month,Debit,DSL,No,Yes,0,0
25,59.84,1496.0,Month-to-month,UPI,,No,No,0,0
24,69.46,1667.04,One year,UPI,Fiber,No,No,1,0
13,82.95,1078.35,Month-to-month,Debit,Fiber,No,No,1,1
60,70.49,4229.4,Two year,Debit,Fiber,No,Yes,1,0
7,73.67,515.69,One year,Debit,Fiber,No,No,1,1
57,22.41,1277.37,Month-to-month,Debit,Fiber,Yes,Yes,0,0
36,45.36,1632.96,Two year,UPI,DSL,Yes,No,1,0
45,51.07,2298.15,Month-to-month,Debit,Fiber,Yes,No,1,0
20,118.71,2374.2,Month-to-month,Credit,DSL,Yes,Yes,0,0
65,49.56,3221.4,One year,Credit,DSL,Yes,Yes,1,0
8,109.66,877.28,One year,Debit,Fiber,No,Yes,3,1
16,50.47,807.52,Month-to-month,Debit,Fiber,Yes,No,0,0
14,29.61,414.54,Two year,UPI,DSL,No,No,2,0
15,44.76,671.4,Month-to-month,Credit,,No,Yes,1,1
66,47.28,3120.48,Month-to-month,Credit,DSL,No,No,2,0
32,117.82,3770.24,Two year,UPI,Fiber,Yes,No,2,0
63,87.43,5508.09,One year,Debit,DSL,No,Yes,2,0
51,113.17,5771.67,Month-to-month,Cash,DSL,No,Yes,2,0
25,103.5,2587.5,Two year,UPI,Fiber,No,No,2,0
58,77.86,4515.88,One year,UPI,DSL,Yes,No,2,0
63,87.54,5515.02,One year,Cash,Fiber,Yes,No,2,0
62,82.48,5113.76,One year,Credit,Fiber,No,Yes,1,0
22,86.63,1905.86,One year,UPI,Fiber,No,No,2,0
58,46.48,2695.84,Month-to-month,Credit,DSL,No,No,1,0
58,60.81,3526.98,Month-to-month,Credit,DSL,No,No,2,0
49,79.26,3883.74,Two year,UPI,Fiber,No,Yes,4,0
52,23.59,1226.68,Month-to-month,UPI,DSL,Yes,No,2,0
42,68.28,2867.76,Month-to-month,Debit,Fiber,No,No,1,0
70,105.97,7417.9,Month-to-month,Credit,DSL,Yes,Yes,5,1
15,69.24,1038.6,Month-to-month,UPI,Fiber,No,No,3,1
54,75.23,4062.42,One year,Credit,DSL,Yes,No,1,0
60,40.19,2411.4,Month-to-month,UPI,Fiber,No,Yes,2,0
8,99.43,795.44,Month-to-month,UPI,Fiber,Yes,Yes,3,1
53,55.89,2962.17,Two year,Debit,Fiber,No,Yes,0,0
60,115.66,6939.6,One year,Debit,Fiber,Yes,Yes,2,0
5,119.37,596.85,Month-to-month,Debit,,No,Yes,2,1
68,111.6,7588.8,Month-to-month,UPI,Fiber,Yes,No,1,0
6,28.49,170.94,One year,Debit,Fiber,No,Yes,0,0
47,53.32,2506.04,Two year,Credit,DSL,Yes,No,2,0
55,114.51,6298.05,Month-to-month,Credit,,No,Yes,1,1
40,100.45,4018.0,Month-to-month,UPI,DSL,No,No,0,1
52,111.12,5778.24,Month-to-month,Debit,,No,Yes,1,1
16,77.26,1236.16,Month-to-month,Cash,Fiber,No,No,0,0
13,68.04,884.52,Month-to-month,UPI,Fiber,No,No,0,1
30,30.65,919.5,One year,Cash,Fiber,No,No,0,0
19,103.95,1975.05,Month-to-month,UPI,DSL,No,Yes,3,0
17,94.51,1606.67,One year,Cash,DSL,Yes,No,2,0
63,25.89,1631.07,Month-to-month,Credit,Fiber,No,No,1,0
19,40.94,777.86,Month-to-month,Cash,DSL,No,No,3,1
58,75.73,4392.34,Month-to-month,Debit,DSL,Yes,No,3,0
55,88.44,4864.2,Month-to-month,Cash,DSL,No,No,2,1
62,33.77,2093.74,Month-to-month,Cash,DSL,Yes,Yes,0,0
23,44.48,1023.04,Two year,Credit,Fiber,Yes,No,2,0
9,39.31,353.79,One year,Debit,DSL,Yes,Yes,2,0
12,42.0,504.0,One year,Debit,Fiber,No,No,2,0
1,112.07,112.07,One year,Cash,Fiber,No,No,1,1
58,91.58,5311.64,Month-to-month,UPI,DSL,No,Yes,1,1
1,93.71,93.71,Two year,Debit,DSL,Yes,Yes,0,1
34,99.4,3379.6,Two year,Debit,,No,Yes,3,1
48,55.66,2671.68,Month-to-month,UPI,,No,Yes,0,1
1,96.72,96.72,Two year,Credit,,Yes,Yes,3,1
16,117.84,1885.44,Month-to-month,Credit,Fiber,No,No,2,1
61,89.84,5480.24,Month-to-month,Credit,Fiber,Yes,No,0,0
64,61.68,3947.52,Month-to-month,Debit,DSL,No,No,2,0
63,91.64,5773.32,Two year,Debit,Fiber,No,Yes,2,1
69,110.08,7595.52,One year,UPI,Fiber,No,No,2,0
22,32.88,723.36,One year,UPI,DSL,No,No,0,0
67,46.53,3117.51,Month-to-month,UPI,Fiber,No,No,1,0
26,111.93,2910.18,Month-to-month,Cash,Fiber,No,Yes,1,1
16,114.62,1833.92,Two year,Credit,DSL,Yes,Yes,2,0
51,68.41,3488.91,Month-to-month,Debit,,Yes,No,3,1
57,57.46,3275.22,Month-to-month,UPI,DSL,No,No,2,0
29,48.28,1400.12,Month-to-month,Debit,Fiber,Yes,Yes,0,0
69,69.88,4821.72,Month-to-month,Cash,Fiber,No,No,1,0
47,113.45,5332.15,One year,UPI,Fiber,No,Yes,3,1
62,34.98,2168.76,One year,UPI,DSL,No,No,1,0
69,61.98,4276.62,Month-to-month,Cash,DSL,No,No,0,0
16,111.16,1778.56,Month-to-month,Credit,Fiber,No,Yes,3,1
48,54.91,2635.68,Month-to-month,Credit,,Yes,No,1,0
39,96.81,3775.59,Month-to-month,Debit,DSL,No,No,0,1
33,58.93,1944.69,One year,Debit,Fiber,No,Yes,1,0
23,100.49,2311.27,Month-to-month,UPI,Fiber,No,Yes,3,1
10,118.1,1181.0,Month-to-month,Credit,,No,No,2,0
69,58.78,4055.82,Month-to-month,Debit,Fiber,Yes,No,0,0
34,104.51,3553.34,Month-to-month,Credit,Fiber,No,Yes,4,1
52,118.84,6179.68,One year,Debit,DSL,No,Yes,3,1
10,118.38,1183.8,Month-to-month,Cash,Fiber,No,No,1,1
19,63.38,1204.22,Month-to-month,Cash,DSL,Yes,Yes,0,0
58,68.58,3977.64,Month-to-month,Debit,DSL,No,No,1,0
1,50.34,50.34,One year,Cash,Fiber,Yes,Yes,3,1
69,51.4,3546.6,Two year,Credit,DSL,No,No,2,0
4,69.25,277.0,Month-to-month,Debit,Fiber,No,Yes,3,1
16,40.05,640.8,Two year,Cash,Fiber,No,No,1,0
24,91.11,2186.64,One year,Debit,DSL,Yes,Yes,3,0
2,73.63,147.26,Month-to-month,Credit,Fiber,No,Yes,5,1
32,109.81,3513.92,One year,Credit,,No,Yes,1,0
24,101.06,2425.44,Month-to-month,Debit,DSL,No,No,0,1
12,52.25,627.0,Two year,Debit,Fiber,Yes,No,1,0
50,70.58,3529.0,Month-to-month,Credit,Fiber,No,No,1,0
35,95.05,3326.75,Month-to-month,Debit,DSL,Yes,No,3,1
33,39.32,1297.56,Two year,Debit,Fiber,No,Yes,1,1
33,23.16,764.28,Month-to-month,Debit,Fiber,Yes,Yes,0,0
61,105.23,6419.03,Month-to-month,UPI,DSL,No,No,3,1
51,33.76,1721.76,One year,Credit,Fiber,Yes,No,1,0
43,108.94,4684.42,One year,UPI,Fiber,Yes,Yes,1,0
